epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.0,0.01368390116840601,1e-04,0.0,0.00787133164703846
1,0.0,0.009548387490212917,1e-04,0.0,0.005328732542693615
2,0.0,0.006273708771914244,1e-04,0.0,0.003362928982824087
3,0.0,0.004192787688225508,1e-04,0.0,0.002449037041515112
4,0.0,0.0031996839679777622,1e-04,0.0,0.0020375458989292383
5,0.0,0.0027663307264447212,1e-04,0.0,0.0020523653365671635
6,0.0,0.0025511549320071936,1e-04,0.0,0.001845856779254973
7,0.0,0.0024181839544326067,1e-04,0.0,0.001965227769687772
8,0.0,0.0023355339653789997,1e-04,0.0,0.0016806883504614234
9,0.0,0.0022759910207241774,1e-04,0.0,0.0018082080641761422
10,0.0,0.002250424586236477,1e-04,0.0,0.0017661612946540117
11,0.0,0.002181520452722907,1e-04,0.0,0.0017248468939214945
12,0.0,0.0021523931063711643,1e-04,0.0,0.0016423584893345833
13,0.0,0.0021306192502379417,1e-04,0.0,0.0016160353552550077
14,0.0,0.002088134875521064,1e-04,0.0,0.001612967113032937
15,0.0,0.0020614205859601498,1e-04,0.0,0.001571241533383727
16,0.0,0.0020540591794997454,1e-04,0.0,0.001685825758613646
17,0.0,0.002059794031083584,1e-04,0.0,0.001518115634098649
18,0.0,0.002026127651333809,1e-04,0.0,0.0015212144935503602
19,0.0,0.0020152912475168705,1e-04,0.0,0.001519641256891191
20,0.0,0.0020048152655363083,1e-04,0.0,0.0016264462610706687
21,0.0,0.001994536956772208,1e-04,0.0,0.001522944658063352
22,0.0,0.0019796572159975767,1e-04,0.0,0.0016359885921701789
23,0.0,0.0019604843109846115,1e-04,0.0,0.0014926710864529014
24,0.0,0.0019675041548907757,1e-04,0.0,0.0015916138654574752
25,0.0,0.0019426534418016672,1e-04,0.0,0.0014945116126909852
26,0.0,0.001943204435519874,8e-05,0.0,0.001657708897255361
27,0.0,0.0019311520736664534,8e-05,0.0,0.0014849093277007341
28,0.0,0.001929828547872603,8e-05,0.0,0.0015730358427390456
29,0.0,0.001942023984156549,8e-05,0.0,0.0014951765770092607
